
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..rch/_tensor.py:570 Tensor.backward  2820   0.028022  180.6508  0.064061
../autograd/__init__.py:243 backward  2820   0.027825  180.6217  0.064050
../graph.py:832 _engine_run_backward  2820   0.016832  180.4726  0.063997
..EWithLogitsLoss._wrapped_call_impl  319..  0.064476  152.7725  0.004777
..:1779 BCEWithLogitsLoss._call_impl  319..  30.87813  152.7580  0.004776
..tion/NCF/neumf.py:80 NeuMF.forward  3240   0.528397  121.9214  0.037630
..s/torch/nn/functional.py:1686 relu  9720   0.019284  47.79522  0.004917
..dules/linear.py:130 Linear.forward  12960  0.050323  40.22495  0.003104
../cuda/__init__.py:1073 synchronize  137    0.001652  19.49451  0.142296
..F/ncf.py:29 synchronized_timestamp  136    0.000664  19.17908  0.141023
..mendation/NCF/ncf.py:101 val_epoch  30     0.551529  18.50874  0.616958
..orch/nn/functional.py:1394 dropout  9720   0.062748  16.64026  0.001712
..grad_scaler.py:360 GradScaler.step  2820   0.010936  8.508732  0.003017
..rch/optim/optimizer.py:497 wrapper  2820   0.063298  8.497796  0.003013
..ch/optim/optimizer.py:62 _use_grad  2820   0.039220  8.061563  0.002859
../torch/optim/adam.py:213 Adam.step  2820   0.030031  7.986988  0.002832
..im/optimizer.py:133 maybe_fallback  2820   0.011514  7.524132  0.002668
..kages/torch/optim/adam.py:885 adam  2820   0.073239  7.508871  0.002663
..tim/adam.py:544 _multi_tensor_adam  2820   0.109155  7.294528  0.002587
..es/torch/serialization.py:908 save  13     0.000750  6.170370  0.474644
.._open_zipfile_writer_file.__exit__  13     3.189265  3.189265  0.245328
../torch/serialization.py:1143 _save  13     1.610876  2.778926  0.213764
..es/sparse.py:191 Embedding.forward  12960  0.041123  2.722300  0.000210
..ch/nn/functional.py:2428 embedding  12960  0.025077  2.671796  0.000206
..ib._bootstrap>:1022 _find_and_load  364..  0.013149  1.519229  0.000417
..strap>:987 _find_and_load_unlocked  878/2  0.003771  1.519109  0.001730
..lib._bootstrap>:664 _load_unlocked  856/2  0.003813  1.518660  0.001774
..._bootstrap>:1053 _handle_fromlist  112..  0.003394  1.518579  0.001352
..>:877 SourceFileLoader.exec_module  841/2  0.002168  1.518523  0.001806
..rap>:233 _call_with_frames_removed  103..  0.000827  1.518192  0.001463
